HGST HDS5C4040ALE630,7520
HGST HDS724040ALE640,90
HGST HMS5C4040ALE640,505026
HGST HMS5C4040BLE640,1363173
HGST HUH728080ALE600,94024
HGST HUS726040ALE610,2699
Hitachi HDS5C3030ALA630,7
Hitachi HDS5C4040ALE630,115984
Hitachi HDS722020ALA330,2425
Hitachi HDS724040ALE640,180
ST10000NM0086,109738
ST1000LM024 HN,85
ST12000NM0007,1296241
ST250LM004 HN,1804
ST31500541AS,3360
ST3160316AS,921
ST3160318AS,217
ST320LT007,808
ST33000651AS,88
ST4000DM000,2822270
ST4000DM001,16832
ST4000DM005,5906
ST4000DX002,402
ST500LM012 HN,60601
ST6000DM001,1348
ST6000DM004,178
ST6000DX000,169017
ST8000DM002,888733
ST8000DM005,439
ST8000NM0055,1293502
ST9250315AS,3935
ST9320325AS,1707
Samsung SSD 850 EVO 1TB,234
TOSHIBA HDWE160,90
TOSHIBA HDWF180,400
TOSHIBA MD04ABA400V,13090
TOSHIBA MD04ABA500V,4050
TOSHIBA MQ01ABF050,46770
TOSHIBA MQ01ABF050M,17008
WDC WD1600AAJS,3549
WDC WD1600BPVT,90
WDC WD2500AAJS,218
WDC WD2500BPVT,291
WDC WD30EFRX,16200
WDC WD3200AAJS,180
WDC WD3200AAKS,59
WDC WD3200BEKX,180
WDC WD3200LPVX,90
WDC WD40EFRX,4050
WDC WD5000BPKT,1409
WDC WD5000LPCX,5028
WDC WD5000LPVX,27694
WDC WD60EFRX,39201
